ED_REG,Geography (click title for details),Pop,Emplyd,CE_jobs,tot_wag,avg_wag,CE_per_w,CE_per_p,OES Q2 2014 Employment,Median Wage
1,EDR 1 - Northwest,81999,41152,958,17181,17.93,23,12,300,$17.26/hr
2,EDR 2 - Headwaters,114637,54027,938,16283,17.36,17,8,220,$16.76/hr
3,EDR 3 - Arrowhead,140919,63733,1477,25626,17.35,23,10,1300,$17.37/hr
4,EDR 4 - West Central,223737,112948,2826,52115,18.44,25,13,640,$16.76/hr
5,EDR 5 - North Central,162795,74229,1968,36331,18.46,27,12,400,$17.46/hr
8,EDR 8 - Southwest,118484,59592,1333,24054,18.05,22,11,380,$17.74/hr
9,EDR 9 - South Central,294705,155947,3795,71975,18.97,24,13,1460,$17.19/hr
10,EDR 10 - Southeast,498131,258999,6721,134035,19.94,26,13,3090,$20.76/hr
11,EDR 11 - 7 County Twin Cities,2986071,1567974,73673,1732570,23.52,47,25,27000,$23.17/hr
6E,EDR 6E- Southwest Central,101304,51058,1374,24875,18.1,27,14,330,$17.21/hr
6W,EDR 6W- Upper Minnesota Valley,44346,22373,510,8861,17.38,23,12,110,$17.92/hr
7E,EDR 7E- East Central,163310,78631,1709,31379,18.36,22,10,360,$11.04/hr
7W,EDR 7W- Central,453223,241270,5635,110889,19.68,23,12,1870,$18.73/hr
